sentence,processing_sentence
고객요청사항큰방수신불 코로나미대상회선단말특이사항진단결과기타추가연락처,고객 요청사항 큰 방수 신불 코로나 미 대상 회선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항안됨방문해서 확인요청함 연결된 지니대는정상방문시간참고인,요청사항 안됨 방문해서 확인 요청함 연결된 지니대는 정상 방문 시간 참고인
 올레티비 시청 안됨 티비 전원 안켜짐 고객측 의뢰 안내함,올레티브이 시청 안됨 티브이 전원 안 켜짐 고객 측 의뢰 안내함
고객요청사항방수신불시방문요회선단말특이사항진단결과기타추가연락처,고객 요청사항 방수신 불시 방문이 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항채널수신불량인터넷연결오류 회선단말특이사항시험결과기타추가연락처 코로나미대상,고객 요청사항 채널 수신 불량 인터넷 연결 오류 회선 단말 특이사항 시험 결과 기타 추가 연락처 코로나 미 대상
고객요청사항차단기 내려간후 수신불회선단말특이사항진단결과기타추가연락처코로나미대상,고객 요청사항 차단기 내려간 후 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처 코로나 미 대상
고객요청사항 안됨,고객 요청사항 안 됨
고객요청사항수신불  네트워크오류 최대한 빠른점검요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류 최대한 빠른 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
수신불방쪽만안됨셋탑재부팅후 정상,수신 불방 쪽만 안됨 셋탑재 부팅 후 정상
고객요청사항수신불인터넷연결오류뜸재부팅해봄연락먼저회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신불인터넷 연결 오류 뜸 재부팅해 봄 연락 먼저 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항가능한일방요 분정도 시청되면 화면꺼짐 소리정상회선단말특이사항진단결과기타추가연락처코로나미대상,고객 요청사항 가능한 일방 요 분 정도 시청되면 화면 꺼짐 소리 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처 코로나 미 대상
요청사항일반아들방안됨전원적색점등재부팅해도동일기량자방문요청함방문시간참고,요청사항 일반 아들 방안 됨 전원 적색점 등재 부팅해도 동일 기량 자 방문 요청함 방문 시간 참고
고객요청사항 안됨셋탑전원빨간불껏다켜도아무반응없음최대한빠른방문요청,고객 요청사항 안됨셋 탑 전원 빨간 불 것 다 켜도 아무 반응 없음 최대한 빠른 방문 요청
고객요청사항원룸 새로 입주후 수신불   세탑이 전혀 연결되어 있지 않음  취소건있음 일 방문요청 일은 늦게 근무해서 수리를 받을수 없다고하심 회선단말특이사항진단결과기타추가연락처,고객 요청사항 원룸 새로 입주 후 수신 불 석탑이 전혀 연결되어 있지 않음 취소 건 있음 일 방문 요청 일은 늦게 근무해서 수리를 받을 수 없다고 하심 회선 단말 특이사항 진단 결과 기타 추가 연락처
채팅올레티비 시청 안됨셋탑 계속꺼진다고  하심 리셋 해도 마찬가지 점검요청 접수해드림셋탑 교체도 원하심고객요청사항회선단말특이사항진단결과기타추가연락처방문전 연락요청,채팅 올레티브이 시청 안됨 셋탑 계속 꺼진다고 하심 리셋해도 마찬가지 점검 요청 접수해 드림 셋탑 교체도 원하심 고객 요청사항 회선 단말 특이사항 진단 결과 기타 추가 연락 처 방문 전 연락 요청
고객요청사항수신불셋탑이상전원만빨간불들어오고 수동조작도안됨안방쪽만안됨코로나이상무연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 셋톱이 상 전원만 빨간불 들어오고 수동 조작도 안됨 안방 쪽만 안됨 코로나 이 상무역 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항시청중화면흔들리고 블랙화면으로 멈춰진행안됨재부팅해야사용됨리모컨일부버튼작동불방문시간참고,요청사항 시청 중 화면 흔들리고 블랙 화면으로 멈춰 진행 안됨 재부팅해야 사용됨 리모컨 일부 버튼 작동 불 방문 시간 참고
고객요청사항스마트셋탑리모콘안됨기사방문요청함회선단말특이사항진단결과기타추가연락처,고객 요청사항 스마트 셋탑 리모컨 안 됨이 사 방문 요청함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항안됨거실인터넷연결오류최대한독촉,고객 요청사 항 안됨 거실 인터넷 연결 오류 최대한 독촉
고객요청사항미리연후방요 기가지니전원 회선단말특이사항진단결과기타추가연락처,고객 요청사항 미리 연 후방 요 기가 지니 전원 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항대모두수신불인터넷 오류최대한 빠른 점검요청회선단말특이사항진단결과기타추가연락처연후방,고객 요청사항 대 모두 수신불인터넷 오류 최대한 빠른 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
고객요청사항수신불연락후회선단말특이사항진단결과기타추가연락처인입,고객 요청사항 수신 불 연락 우회선 단말 특이사항 진단 결과 기타 추가 연락처인 입
층 수신불 조치전회복,층 수신 불 조치 전 회복
고객요청사항접속불정상리셋오후시방문요청함,고객 요청사항 접속 불정 상리 셋 오후 시 방문 요청함
고객요청사항수신불인터넷지킴이와 안심가입회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신불인터넷 지킴이와 안심 가입 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불재부팅후정상사용됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 재부팅 후 정상 사용됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 외부에서 선 끊어짐 댁에 사람없음 외부점검요 방문전 연락요 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 외부에서 선 끊어짐 댁에 사람 없음 외부 점검요 방문 전 연락요 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시시수신불네트워크오류뜸여러번재부팅해야된다고함근본점검원함회선단말특이사항진단결과기타추가연락처,고객 요청사항 시시 수신 불 네트워크 오류 뜸 여러 번 재부팅해야 된다고 합근 본 점검 원함 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모콘 인식 안됨 교환 요청 택배요청택배 처리해드림,리모컨 인식 안됨 교환 요청 택배 요청 택배 처리해드림
수신불수신카드오류전송후 정상사용됨,수신 불수산 카드 오류 전송 후 정상 사용됨
고객요청사항안됨인터넷연결오류리셋,고객 요청사 항 안됨 인터넷 연결 오류리 셋
고객요청사항수신불네트워크오류리셋회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류리 셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨 작동안됨건전지부분 스프링고장 게재,리모컨 작동 안 됨 건전지 부분 스프링 고장 게재
고객요청사항거실수신불업그레이드 오류 최대한 빠른 점검요청  일중으로 처리되도록 요청함 회선단말특이사항진단결과기타추가연락처연후방,고객 요청사항 거실 수신 불 업그레이드 오류 최대한 빠른 점검 요청 일 중으로 처리되도록 요청함 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
 리모콘 인식 안됨 셋탑 리셋 이후 리모콘 정상 사용됨,리모컨 인식 안됨 셋탑 리셋 이후 리모컨 정상 사용됨
고객요청사항수신불회선단말특이사항진단결과기타추가연락처연후방,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
 리모컨 안됨재부팅후 정상,리모컨 안됨 재부팅 후 정상
고객요청사항수신불급일 방문가능하면 앞당겨와달라함일은 시방문요방문일정은 안내함회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불급일 방문 가능하면 앞당겨와 달라 합일은 시 방문요 방문 일정은 안내 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불 두대다동일 일까지기다릴수없음 일방문요청 집중실통화의뢰후문자전송요청 회선단말특이사항진단결과,고객 요청사항 수신 불 두 대 다동일 일까지 기다릴 수 없음 일 방문 요청 집중 실통화 의뢰 후 문자 전송 요청 회선단 말이 특이 사항 진단 결과
요청사항대안됨댁내배선점검요청함스트림에러방문시간오후시시방문요청함빠른일정확인후 전송안내참고,요청사항 태안됨 댁내 배선 점검 요청함 스트림 에러 방문 시간 오후 시 시 방문 요청함 빠른 일정 확인 후 전송 안내 참고
고객요청사항음성은나오나화면안나옴재부팅해봄연락먼저회선단말특이사항진단결과기타추가연락처,고객 요청사항 음성은 나오나 화면 안 나옴 재부팅해 봄 연락 먼저 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 관리자핀번입력창뜸 코로나미대상회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 관리자 빈번 입력창뜸 코로나 미 대상 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 끊김 미리연락후방문요망 지킴이가입회선단말특이사항진단결과기타추가연락처,고객 요청사항 끊김 미리 연락 후 방문 요망 지킴이가 입회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항큰방  수신불부전원 안켜짐빨간불거실는잘됨화요일 방문원함안심권유 인터넷지킴이 실패회선단말특이사항진단결과기타추가연락처,고객 요청사항 큰 방 수신 불 부전원 안 켜짐 빨간 불 거실라는 잘 됨 화요일 방문 원함 안심 권유 인터넷 지킴이 실패 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불연락후잦은고장불편많음교체언급요청회선단말특이사항진단결과기타추가연락처인입,고객 요청사항 수신 불 연락 후 잦은 고장 불편 많음 교체 언급 요청회 선 단말 특이사항 진단 결과 기타 추가 연락처인 입
고객요청사항수신불 네트워크오류메세지 최대한 빠른점검필요회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류 메시지 최대한 빠른 점검 필요 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항채널화질불량지직거림 빠른방문요청근본해결 코로나미대상회선단말특이사항진단결과기타추가연락처,고객 요청사항 채널 화질 불량 지직 거림 빠른 방문 요청 근본 해결 코로나 미 대상 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불인터넷연결오류단말구별불가주소로 임의접수회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신불인터넷 연결 오류 단말 구별 불가 주소로 임의 접수회 선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항화면안나옴음성정상셋탑재부팅해도동일방문시간참고,요청사항 화면 안 나옴 음성 정상셋 탑재 부팅해도 동일 방문 시간 참고
고객요청사항수신불연락후 전원회선단말특이사항진단결과기타추가연락처인입,고객 요청사항 수신 불 연락 후 전원회 선단 말이 특이 사항 진단 결과 기타 추가 연락처인 입
고객요청사항리모컨 작동불 리모컨에 버튼을 안눌러도 리모컨에 불이 계속 들어오면서 오작동이됨연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불 리모컨에 버튼을 안 눌러도 리모컨에 불이 계속 들어오면서 오작동이 됨은 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
안심권유고객요청사항수신불인터넷오류회선단말특이사항진단결과기타추가연락처연후방,안심 권유 고객 요청사항 수신불인터넷 오류 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
고객요청사항수신불 네트워크오류 홈 너무 뜨겁다며 문제있는건 아닌지 방문해서 확인요  회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류 홈 너무 뜨겁다며 문제 있는 건 아닌지 방문해서 확인 요 회선 단말 특이사항 진단 결과 기타 추가 연락처
 리모컨 안됨가까이에서는 되고 멀리서는 안됨리모컨 페어링 재부팅에 택배접수함,리모컨 안됨 가까이에서는 되고 멀리서는 안됨 리모컨 페어링 재부팅에 택배 접수함
고객요청사항거실 화질이상시청중 화면이 지직거린다심회선단말특이사항진단결과기타추가연락처,고객 요청사항 거실 화질 이상 시청 중 화면이 지직거리 다심 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불 최대한 빠른점검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 최대한 빠른 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항오전정전후수신불 회선단말특이사항진단결과기타추가연락처코로나미대상안심권유,고객 요청사항 오전 정 전후 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처 코로나 미 대상 안심 권유
고객요청사항리모컨작동불가설정방법문자전송도함회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불가 설정 방법 문자 전송도 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청불 비정상  리셋 코로나무 미리연락요 회선단말특이사항진단결과비정상기타추가연락처,고객 요청사항 시청 불 비정상 리셋 코로 나무 미리 연락요 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
고객요청사항시시로안됨시청중끊김현상연락처못받을시추가연락처로해달라함,고객 요청사항 시시로 안됨 시청 중 끊김 현상 연락처 못 받을 시추가 연락처로 해달라 함
고객요청사항리모컨 작동불 매장안내 본인회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불 매장 안내 본인 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋접수수신불리셋회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 수신 불 리셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
일시요청코로나이상무고객요청사항수신불량입력신없음셋탑전원확인재부팅해봄회선단말특이사항진단결과기타추가연락처연,일시 요청 코로나 이 상무 고객 요청사항 수신 불량 입력 신 없음 셋탑 전원 확인 재부팅해 봄 회선 단말 특이사항 진단 결과 기타 추가 연락처연
대다안됨시청불광케이블장애안내장애완료후연락요,대다 안됨 시청 불광 케이블 장애 안내 장애 완료 후 연락요
고객요청사항독촉셋탑전원이 켜졌다 안켜졌다 함방문전연락요회선단말특이사항진단결과기타추가연락처,고객 요청사항 독촉 셋 탑 전원이 켜졌다 안 켜졌다 함 방문 전 연락 요 회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋접수 시간 내외 리콜 안내 고객요청사항수신불회선단말특이사항진단결과기타추가연락처,리셋 접수 시간 내외 리콜 안내 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불로딩중뜸연후방 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불로 딩 중 뜸 연 후방 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항수신불회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항대중대는켜지는속도느림대는선재연결요청위치이동없음연락후방문회선단말특이사항진단결과기타추가연락처,고객 요청사항 대 중대는 켜지는 속도 느림 대는 선재 연결 요청 위치 이동 없음 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
독촉당일 예약취소건 있으면 방문해달라심확답불가일 시시대수신불올인홈정상포트리셋리부팅안내함,독촉 당일 예약 취소 건 있으면 방문해달라 심확답 불가일 시시대 수신불올인 홈 정상 포트리 셋 리부팅 안내함
고객요청사항리셋접수수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 수신 불회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 회선단말특이사항진단결과비정상기타추가연락처,고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
독촉고객요청사항시청불  스트링에러 포트리셋 회선꼼꼼점검요청 세탑교체 수시발행불만회선단말특이사항진단결과시험불기타추가연락처,독촉 고객 요청사항 시청 불 스트링 에러 포트 리셋 회선 꼼꼼 점검 요청 세톱 교체 수시 발행 불만 회선 단말 특이사항 진단 결과 시험 불기 타 추가 연락처
독촉극심고객요청사항수신불회선단말특이사항진단결과기타추가연락처,독촉 극심 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무고객요청사항지니 사용  대 서비스시작중 문구에서 안넘어간다함   장비 재부팅안내  배정시 미리연후방기타추가연락처,코로나 이 상무 고객 요청사항 지니 사용 대 서비스 시작 중 문구에서 안 넘어간 다함 장비 재부팅 안내 배정 시 미리 연후방 기타 추가 연락처
수신불  자연회복됨,수신 불 자연 회복됨
리셋접수 시간 내외 리콜 안내 고객요청사항수신불회선단말특이사항진단결과기타추가연락처,리셋 접수 시간 내외 리콜 안내 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항빠른 방문 요청함  임의회선  티비 수신불  주소확인 회선단말특이사항진단결과기타추가연락처,고객 요청사항 빠른 방문 요청함 임의회 선 티브이 수신 불 주소 확인 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
 시처음 채널만 나오고 채널변경안됨재부팅확인함,시 처음 채널만 나오고 채널 변경 안됨 재부팅 확인함
추가일오전시시방문안내함신미약,추가 일 오전 시시 방문 안내함 신미약
고객요청사항시청불 기가지니전원접촉불량회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불 기가 지니 전원 접촉 불량 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋접수로딩중 나오면서  수신불  시간내외안내회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 로딩 중 나오면서 수신 불 시간 내 외 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항독촉전원 녹색불에서 변동안됨연후방 회선단말특이사항진단결과기타추가연락처,고객 요청사항 독촉 전원 녹색 불에서 변동 안됨 연 후방 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
코로나이상무고객요청사항 임의회선   이상회선단말특이사항진단결과기타추가연락처,코로나 이 상무 고객 요청사항 임의회 선 이상 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항셋탑 전원 안들어옴회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 셋탑 전원 안 들어 옴회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
  일 시안내함 화면안나오면서 줄이 생긴다함 재부팅요망,일 시 안내함 화면 안 나오면서 줄이 생긴 다함 재부팅 요망
 긴급 독촉심함차 리셋후 동일 빠른방문원함업무용 당일취소건있을경우 우선 방문 원함고객요청사항리셋접수수신불리셋회선단말특이사항진단결과기타추가연락처,긴급 독촉 심함 차 리셋 후 동일 빠른 방문 원함 업무용 당일 취소 건 있을 경우 우선 방문 원함 고객 요청사항리셋 접수 수신 불 리셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불 인터넷연결상태확인메세지 접수중 정상사용됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 인터넷 연결 상태 확인 메시지 접수 중 정상 사용됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
수신불 외부신고함,수신 불 외부 신고함
일 시시수신불올인홈정상포트리셋리부팅안내함,일 시시 수신 부을 올인 홈 정상 포트리 셋 리 부팅 안내함
고객요청사항자연회복회선단말특이사항진단결과기타추가연락처,고객 요청사항 자연 회복 회선 단말 특이사항 진단 결과 기타 추가 연락처
장비장애안내,장비 장애 안내
고객요청사항화질이상  장비리셋안내후 정상 회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 화질 이상 장비니 셋 안내 후 정상 회선단 말이 특이 사항 진단 결과 정상기 타 추가 연락처
고객요청사항셋탑박스전원선을뺐다꼽아야전원이켜진다고함연락후방문회선단말특이사항진단결과기타추가연락처,고객 요청사항 셋탑 박스 전원 선을 뺐다 꼽아야 전원이 켜진다고 함 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항티비끊김회선단말특이사항진단결과기타추가연락처,고객 요청사항 티비끊 김회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불  장비리셋동일회선단말특이사항진단결과비정상기타추가연락처,고객 요청사항 수신 불 장비니 셋 동일 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
일시대중대 안됨수신불신 없음전원선 재부팅 후 동일,일시 대중 대 안됨 수신 불신 없음 전원 선 재부팅 후 동일
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항전원이상  수동으로도 작동안됨 녹색불이 안들어옴 임의회선  최대한빠른방문요청하심 회선단말특이사항진단결과기타추가연락처,고객 요청사항 전원 이상 수동으로도 작동 안 됨 녹색불이 안 들어옴 임의회 선 최대한 빠른 방문 요청하심 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불대는 고장으로 확인안됨회선구분 어려워 임의접수함회선단말특이사항진단결과기타추가연락처연후방,고객 요청사항 수신 불대는 고장으로 확인 안됨 회선 구분 어려워 임의 접수함 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청불 줄생김  시청중멈춤 반복됨 포트리셋 일정점검했는데도 동일회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불 줄 생김 시청 중멈춤 반복됨 포트 리셋 일정 점검했는데도 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 리모컨작동불가로 같이 점검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 리모컨 작동 불가로 같이 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
