,Label,sentence
56,실시간 채널>네트워크 오류,고객 요청사항 대 모두 수신불인터넷 오류 최대한 빠른 점검 요청회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
57,실시간 채널>수신 불량,고객 요청사항 수신불 연락 후회선 단말특이사항 진단 결과 기타 추가 연락처인 입
58,원인불명>조치 전 자연 회복,층 수신 불 조치 전 회복
59,실시간 채널>수신 불량,고객 요청사항 접속 불정상리셋오후시 방문 요청함
60,실시간 채널>수신 불량,고객 요청사항 수신불인터넷 지킴이와 안심가입회선 단말특이사항 진단 결과 기타 추가 연락처
62,실시간 채널>수신 불량,고객 요청사항 수신 불 외부에서 선 끊어짐 댁에 사람 없음 외부 점검요 방문 전 연락요 회선 단말특이사항 진단 결과 기타 추가 연락처
63,실시간 채널>네트워크 오류,고객 요청사항 시시수신 불네트워크 오류 뜸 여러 번 재부팅해야 된다고 함근 본점검 원함회선 단말특이사항 진단 결과 기타 추가 연락처
64,단말>리모컨작동불가>택배발송,리모콘 인식 안됨 교환 요청 택배 요청 택배 처리해드림
65,단말>STB(부팅) 이상>부팅중 오류메시지 발생,수신 불수신 카드 오류 전송 후 정상 사용됨
66,실시간 채널>네트워크 오류,고객 요청사 항 안됨인터넷 연결오류리셋
67,실시간 채널>네트워크 오류,고객 요청사항 수신 불네트워크 오류리셋 회선 단말특이사항 진단 결과 기타 추가 연락처
68,단말>리모컨작동불가>택배발송,리모컨 작동안됨 건전지 부분 스프링 고장 게재
69,단말>STB(부팅) 이상>부팅중 오류메시지 발생,고객 요청사항 거실 수신불 업그레이드 오류 최대한 빠른 점검 요청 일 중으로 처리되도록 요청함 회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
70,단말>리모컨작동불가>기타문의,리모콘 인식 안됨 셋탑 리셋 이후 리모콘 정상 사용됨
72,단말>리모컨작동불가>기타문의,리모컨 안됨재부팅 후 정상
73,실시간 채널>수신 불량,고객 요청사항 수신불급일 방문 가능하면 앞당겨와 달라 함일은 시 방문요 방문 일정은 안내 함회선 단말특이사항 진단 결과 기타 추가 연락처
74,실시간 채널>수신 불량,고객 요청사항 수신 불 두 대다동일 일까지 기다릴 수 없음 일 방문 요청 집중 실통화 의뢰 후문자전송 요청 회선단말특이사항 진단 결과
75,실시간 채널>네트워크 오류,요청사항 대안됨댁내 배선 점검 요청함 스트림에러 방문시간 오후시 시 방문 요청함 빠른 일정 확인 후 전송 안내 참고
76,실시간 채널>화질 이상,고객 요청사항 음성은 나오나 화면 안나 옴재부팅해 봄 연락 먼저 회선 단말 특이사항 진단 결과 기타 추가 연락처
77,실시간 채널>수신 불량,고객 요청사항 수신 불 관리자 핀번호 입력창뜸 코로나미 대상회선 단말특이사항 진단 결과 기타 추가 연락처
78,실시간 채널>화질 이상,고객 요청사항 끊김 미리 연락 후 방문 요망 지킴이가 입회선 단말특이사항 진단 결과 기타 추가 연락처
79,단말>STB(작동)이상,고객 요청사항 큰 방 수신불부전원 안 켜짐 빨간 불거실는 잘됨화요일 방문원함 안심권유 인터넷 지킴이 실패회선 단말특이사항 진단 결과 기타 추가 연락처
80,실시간 채널>수신 불량,고객 요청사항 수신불 연락 후 잦은 고장불편 많음 교체 언급 요청회 선 단말특이사항 진단 결과 기타 추가 연락처인 입
81,실시간 채널>네트워크 오류,고객 요청사항 수신 불 네트워크 오류 메세지 최대한 빠른 점검 필요회선 단말특이사항 진단 결과 기타 추가 연락처
82,실시간 채널>화질 이상,고객 요청사항 채널 화질 불량 지직거림 빠른 방문 요청 근본 해결 코로나 미 대상회선 단말특이사항 진단 결과 기타 추가 연락처
83,실시간 채널>네트워크 오류,고객 요청사항 호수신불인터넷 연결오류 단말 구별 불가 주소로 임의 접수회선 단말특이사항 진단 결과 기타 추가 연락처
84,실시간 채널>화질 이상,요청사항 화면 안 나옴 음성 정상셋 탑재부팅해도 동일 방문 시간 참고
85,단말>STB(작동)이상,고객 요청사항 수신불 연락 후 전원회선단말특이사항 진단 결과 기타 추가 연락처인 입
86,단말>리모컨작동불가>현장출동,고객 요청사항 리모컨 작동 불 리모컨에 버튼을 안 눌러도 리모컨에 불이 계속 들어오면서 오작동이 됨연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
87,실시간 채널>네트워크 오류,안심권유 고객 요청사항 수신불인터넷 오류회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
88,실시간 채널>네트워크 오류,고객 요청사항 수신 불 네트워크 오류 홈 너무 뜨겁다며 문제 있는 건 아닌지 방문해서 확인 요 회선 단말특이사항 진단 결과 기타 추가 연락처
89,단말>리모컨작동불가>택배발송,리모컨 안됨 가까이에서는 되고 멀리서는 안됨 리모컨 페어링 재부팅에 택배 접수함
90,실시간 채널>화질 이상,고객 요청사항 거실 화질이상 시청 중 화면이 지직거린 다심회선 단말특이사항 진단 결과 기타 추가 연락처
91,실시간 채널>수신 불량,고객 요청사항 수신 불 최대한 빠른 점검 요청회선 단말특이사항 진단 결과 기타 추가 연락처
92,실시간 채널>수신 불량,고객 요청사항 오전 정 전 후 수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처 코로나 미 대상 안심권유
93,단말>리모컨작동불가>현장출동,고객 요청사항 리모컨 작동 불가설정 방법 문자 전송도 함회선 단말특이사항 진단 결과 기타 추가 연락처
94,실시간 채널>수신 불량,고객 요청사항 시청 불 비정상 리셋 코로나무 미리 연락요 회선 단말특이사항 진단 결과 비정상 기 타 추가 연락처
95,실시간 채널>수신 불량,고객 요청사항 시시로 안됨 시청 중 끊김 현상 연락처 못 받을 시추가 연락처로 해달라 함
96,단말>리모컨작동불가>M&S내방안내,고객 요청사항 리모컨 작동 불 매장 안내 본인 회선 단말특이사항 진단 결과 기타 추가 연락처
97,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 접수 수신 불리셋 회선 단말특이사항 진단 결과 기타 추가 연락처
98,실시간 채널>수신 불량,일시 요청 코로나 이 상무 고객 요청사항 수신 불량 입력 신호 없음셋탑 전원 확인재부팅해 봄 회선 단말특이사항 진단 결과 기타 추가 연락처연
99,장애안내>케이블(전송로) 장애,대다 안됨 시청 불광케이블 장애 안내장애 완료 후 연락요
100,단말>STB(작동)이상,고객 요청사항 독촉 셋 탑 전원이 켜졌다 안 켜졌다 함 방문 전 연락 요회선 단말특이사항 진단 결과 기타 추가 연락처
101,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 내외 리콜 안내 고객 요청사항 수신불회선 단말특이사항 진단 결과 기타 추가 연락처
102,단말>STB(부팅) 이상>부팅중 오류메시지 발생,고객 요청사항 수신불로 딩 중 뜸 연 후방 회선단말특이사항 진단 결과 기타 추가 연락처
103,실시간 채널>수신 불량,고객 요청사항 수신불회선 단말특이사항 진단 결과 정상기 타 추가 연락처
104,단말>STB(부팅) 이상>부팅지연(오류메시지 없음),고객 요청사항 대중대는 켜지는 속도 느림대는 선재 연결 요청 위치 이동 없음 연락 후 방문회선 단말특이사항 진단 결과 기타 추가 연락처
105,실시간 채널>수신 불량,독촉 당일 예약 취소 건 있으면 방문해달라 심확답 불가일 시시대 수신불올인 홈 정상포트리셋리부팅 안내함
106,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 접수 수신 불회선 단말특이사항 진단 결과 기타 추가 연락처
107,실시간 채널>수신 불량,고객 요청사항 수신불회선 단말특이사항 진단 결과 기타 추가 연락처
108,실시간 채널>수신 불량,고객 요청사항 수신 불 회선 단말특이사항 진단 결과 비정상 기 타 추가 연락처
109,실시간 채널>수신 불량,독촉 고객 요청사항 시청 불 스트링에러 포트리셋 회선 꼼꼼 점검 요청 세탑교체 수시 발행불만 회선 단말특이사항 진단 결과 시험불기 타 추가 연락처
110,실시간 채널>수신 불량,독촉 극심 고객 요청사항 수신불회선 단말특이사항 진단 결과 기타 추가 연락처
111,단말>STB(부팅) 이상>부팅중 오류메시지 발생,코로나 이 상무 고객 요청사항 지니 사용 대 서비스 시작 중 문구에서 안 넘어간 다함 장비 재부팅 안내 배정시 미리 연후방 기타 추가 연락처
112,원인불명>조치 전 자연 회복,수신 불 자연회복됨
114,실시간 채널>수신 불량,고객 요청사항 빠른 방문 요청함 임의회 선 호 티비 수신불 주소 확인 회선단말특이사항 진단 결과 기타 추가 연락처
115,실시간 채널>수신 불량,시 처음 채널만 나오고 채널 변경 안됨재부팅 확인함
116,실시간 채널>수신 불량,추가 일 오전 시시 방문 안내함 신호 미약
117,단말>STB(작동)이상,고객 요청사항 시청 불 기가 지니 전원 접촉 불량 회선 단말특이사항 진단 결과 기타 추가 연락처
118,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 접수로딩 중 나오면서 수신 불 시간 내 외 안내회선 단말특이사항 진단 결과 기타 추가 연락처
119,단말>STB(작동)이상,고객 요청사항 독촉 전원 녹색 불에서 변동 안됨연 후방 회선단말특이사항 진단 결과 기타 추가 연락처
120,단말>STB(작동)이상,코로나 이 상무 고객 요청사항 임의회 선 호 이상회선 단말특이사항 진단 결과 기타 추가 연락처
121,단말>STB(작동)이상,고객 요청사항 셋탑 전원 안 들어 옴회선 단말특이사항 진단 결과 정상기 타 추가 연락처
122,실시간 채널>수신 불량,일 시 안내함 화면안 나오면서 줄이 생긴 다함 재부팅 요망
123,실시간 채널>수신 불량,긴급 독촉심함 차 리셋 후 동일 빠른 방문원함 업무용 당일 취소 건 있을 경우 우선 방문 원함 고객 요청사항리셋 접수 수신 불리셋 회선 단말특이사항 진단 결과 기타 추가 연락처
124,원인불명>조치 전 자연 회복,고객 요청사항 수신 불 인터넷 연결 상태 확인 메세지 접수 중 정상 사용됨회선 단말특이사항 진단 결과 기타 추가 연락처
125,실시간 채널>수신 불량,수신 불 외부 신고함
126,실시간 채널>수신 불량,일 시시수신 불올인 홈 정상포트리셋리 부팅 안내함
127,원인불명>조치 전 자연 회복,고객 요청사항 호자연회복회선 단말특이사항 진단 결과 기타 추가 연락처
128,장애안내>네트워크장비 장애,장비 장애 안내
129,실시간 채널>화질 이상,고객 요청사항 화질이상 장비리셋 안내 후 정상 회선단말특이사항 진단 결과 정상기 타 추가 연락처
130,단말>STB(작동)이상,고객 요청사항 셋탑 박스 전원선을 뺐다 꼽아야 전원이 켜진다고 함 연락 후 방문회선 단말특이사항 진단 결과 기타 추가 연락처
131,실시간 채널>화질 이상,고객 요청사항 티비끊 김회선 단말특이사항 진단 결과 기타 추가 연락처
132,실시간 채널>수신 불량,고객 요청사항 수신 불 장비리셋 동일회선 단말특이사항 진단 결과 비정상 기 타 추가 연락처
133,실시간 채널>수신 불량,일시 대중대 안됨수신 불신호 없음 전원선 재부팅 후 동일
135,단말>STB(작동)이상,고객 요청사항 전원이상 수동으로도 작동안됨 녹색불이 안 들어옴 임의회 선 최대한 빠른 방문 요청하심 회선 단말특이사항 진단 결과 기타 추가 연락처
136,실시간 채널>수신 불량,고객 요청사항 수신불대는 고장으로 확인 안됨회선 구분 어려워 임의 접수함회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
138,실시간 채널>수신 불량,고객 요청사항 시청 불 줄 생김 시청 중멈춤 반복됨 포트리셋 일정 점검했는데도 동일회선 단말특이사항 진단 결과 기타 추가 연락처
139,실시간 채널>수신 불량,고객 요청사항 수신 불 리모컨 작동 불가로 같이 점검 요청회선 단말특이사항 진단 결과 기타 추가 연락처
140,실시간 채널>네트워크 오류,코로나무 고객 요청사항 실시간 시청은 되나 지니 음성호 출시 인터넷 연결에 러뜸 회선 단말특이사항 방문 전 연락원 함 진단 결과 기타 추가 연락처
141,단말>STB(부팅) 이상>부팅중 오류메시지 발생,고객 요청사항 시청 불 로딩 중 포트리셋 회선 단말특이사항 진단 결과 시험불기 타 추가 연락처
142,실시간 채널>수신 불량,호 임의 수신 불리셋
143,실시간 채널>수신 불량,고객 요청사항 호수신불 회선단말특이사항 진단 결과 기타 추가 연락처
144,실시간 채널>수신 불량,고령자 오전 취소 건 있을 경우 우선 방문 원함 독촉심함 차 리셋 후 동일 빠른 방문원함리셋 접수 시간 내외 리콜 안내 고객 요청사항 수신불회선 단말특이사항 진단 결과 기타 추가 연락처
145,실시간 채널>수신 불량,수신불
146,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 부주의 쥐가 선을 갉았다고 하심회선 단말특이사항 진단 결과 정상기 타 추가 연락처
147,실시간 채널>수신 불량,취소 건 있으면 당겨서 점검 고객 요청사항 시청 불 리셋 코로나무 미리 연락요 회선 단말특이사항 진단 결과 기타 추가 연락처
149,AS접수/변경>임대단말 분실/파손,원리모컨 파손 구매 접수 및 통합설정 페어링 설정 문자 발송
150,단말>STB(작동)이상,김현철 채팅 셋 탑 작동 이상 댁내 셋탑 대가 모두 자동으로 꺼졌다 켜진다고 함접수는 보류 요청함
151,실시간 채널>수신 불량,고객 요청사항 시청 불 외부 입력 설정 시청 안됨 셋탑리셋 회선 단말특이사항 진단 결과 정상기 타 추가 연락처
152,실시간 채널>수신 불량,수신 불
153,고객원인>증설/구내선 정리요청,임 의회 선호 고객 요청사항선 연결 요청 방문 점검 요청회선 단말특이사항 진단 결과 정상기 타 추가 연락처
154,실시간 채널>수신 불량,고객 요청사항 임의 호 수신 불 주소 확인 회선단말특이사항 진단 결과 기타 추가 연락처
155,실시간 채널>수신 불량,고객 요청사항 호임의 수신 불 연락 후 방문회선 단말특이사항 진단 결과 기타 추가 연락처
156,실시간 채널>수신 불량,수신 불 선 끊김
157,단말>STB(부팅) 이상>부팅중 오류메시지 발생,고객 요청사항 부팅 중 멈춤 셋탑을 교체 해달라고 요청하심회선 단말특이사항 진단 결과 기타 추가 연락처
158,AS접수/변경>장비리셋 후 재사용 요청,일리셋대수신불리셋인 입호
159,실시간 채널>화질 이상,일시 영상 안나옴 음성 정상
160,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 청소 후 화면 정상 음성안 나옴 셋탑리셋 안내 외부라고 접수해달라 심 회선 단말특이사항 진단 결과 기타 추가 연락처
162,실시간 채널>음성 이상,추가 일 오후 방문 안내함 음성이상 음성 송출됨셋탑재 부팅해도 동일 증상
163,실시간 채널>수신 불량,호 임의 화면 안나옴 문제 인지 리모컨 문제인지 점검 요청
165,실시간 채널>화질 이상,고객 요청사항 부재중이라 들어가서 하시면 된다며 연락 먼저 달라 함영상끊김 흔들림 연락 후 방문회선 단말특이사항 진단 결과 기타 추가 연락처
166,실시간 채널>수신 불량,티비인됨 케이블 연결 상태 오류 뜸 녹색 외부 입력 확인함 빠른 점검요
167,실시간 채널>수신 불량,고객 요청사항 시청 불 신호 없음 기가 지니 외부 입력 후 동일 기가 지니 리셋 후 사용됨회선 단말특이사항 진단 결과 기타 추가 연락처
168,AS접수/변경>장비리셋 후 재사용 요청,일리셋 수신 불리셋
169,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신불
170,실시간 채널>수신 불량,고객 요청사항 수신불 연락 후 방문회선 단말특이사항 진단 결과 기타 추가 연락처
171,실시간 채널>수신 불량,차 리셋 후 동일 빠른 방문원함 잦은 고장 불만 꼼꼼하게 점검 요청 지난번 다녀간 엔지니어 말고 기술 뛰어난 엔지니 어 방문원함 민원심함 고객 요청사항리셋 접수 수신불회선 단말특이사항 진단 결과 기타 추가 연락처
172,실시간 채널>수신 불량,코로나 이 상무재확인필 고객 요청사항 티비 수신불 회선 단말특이사항 최대한 빠른 방문 희망 매장 인터넷 진단 결과 기타 추가 연락처
173,AS접수/변경>장비리셋 후 재사용 요청,리셋 시청 불 수신 미약 회선단말특이사항 진단 결과 기타 추가 연락처
174,실시간 채널>수신 불량,고객 요청사항 수신 불 셋탑리셋 동일회선 단말특이사항 진단 결과 기타 추가 연락처
175,실시간 채널>수신 불량,리모컨지참까지 해서 방문 요청함 추가 일 오전 시시 방문 안내함수 신불 화면 안나 옴셋탑재 부팅해도 동일 증상 언급
176,실시간 채널>수신 불량,고객 요청사항 아트빌 호수신불시 방문 요청 외부 회선 단말특이사항 임의 코로나 이상무 진단 결과 기타 추가 연락처
177,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 리모컨 잘못 건드리고 수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처 엔지니어 확인되면 연락 먼저 요청
178,실시간 채널>수신 불량,고객 요청사항 시청 불 화면 깨짐 연결오류 셋탑리셋 회선 단말특이사항 진단 결과 정상기 타 추가 연락처
179,단말>STB(작동)이상,코로나 이 상무재확인필 고객 요청사항 회선 단말특이사항 임의회선작은 방 진단 결과 정상기 타 추가 연락처인
180,단말>리모컨작동불가>현장출동,코로나 이 상무재확인 필 고객 요청사항 리모컨 버튼 누르면 초 뒤에 반응함 모뎀 셋톱 재부팅해도 동일 현상 반복 방문 점검 요청 회선단말특이사항 진단 결과 정상기 타 추가 연락처
181,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 시간 전후 안내화면 정상 음성안 나옴회선 단말특이사항 진단 결과 기타 추가 연락처
182,양방향서비스>양방향서비스 사용불가,고객 요청사항 유투브랑 넷플릭스 안됨작은 방 노트북도 같이 안됨연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
183,실시간 채널>수신 불량,티비 전부 안됨 빠른 점검 요인입
184,실시간 채널>수신 불량,고객 요청사항 취소 건 있을 시 챙겨서 방문 요청 독촉 코로나 이상 무재확인 필티 수신 불바코드 확인호회선 단말특이사항 진단 결과 기타 추가 연락처
185,실시간 채널>수신 불량,고객 요청사항 시시로 수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처
186,실시간 채널>수신 불량,차 리셋 후 동일 빠른 방문원 함 당일 취소 건 있을 경우 우선 방문 원함리셋 접수 시간 내외 리콜 안내 고객 요청사항 수신불회선 단말특이사항 진단 결과 기타 추가 연락처
187,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 접수 시간 화질이상 화면 계속 끊어짐 회선 단말특이사항 진단 결과 기타 추가 연락처
188,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 티비 교체 이후 티비 수신 불 주소 확인 회선단말특이사항 진단 결과 기타 추가 연락처
189,실시간 채널>수신 불량,코로나 이 상무 재확인필 고객 요청사항 수신 불 화면 안나옴 회선단말특이사항 진단 결과 정상 기타 추가 연락처인
190,실시간 채널>화질 이상,고객 요청사항 시청 중 끊김 연후방 회선 단말특이사항 진단 결과 기타 추가 연락처
191,단말>STB(부팅) 이상>부팅중 오류메시지 발생,차 리셋 후 동 일부 재중이더라도 방문 요청 연락 주면 비번 확인해주신다고 함 고객 요청사항리셋 접수로딩 중 나오면서 수신 불 시간 내 외 안내회선 단말특이사항 진단 결과 기타 추가 연락처
192,단말>STB(작동)이상,코로나 이 상무 재확인 필 고객 요청사항 티비 셋탑 전원 안 들어 옴회선 단말특이사항 진단 결과 정상기 타 추가 연락처
193,단말>STB(작동)이상,코로나 이 상무 재확인 필 고객 요청사항 볼륨 이상 방문 점검 요회선 단말특이사항 진단 결과 기타 추가 연락처
194,단말>리모컨작동불가>M&S내방안내,기가 지니 리모컨 작동 불매장 안내
195,실시간 채널>수신 불량,고객 요청사항 코로나 이 상무재확인 필티 수신 불인터넷 연결 불 회선 단말특이사항 진단 결과 정상기 타 추가 연락처
196,실시간 채널>수신 불량,일시 시청 불셋 탑재 부팅해 보라 안내
197,실시간 채널>화질 이상,고객 요청사항 빠른 방문 요청함 화질 이상 장비리셋 이후 동일 주소 확인 회선단말특이사항 진단 결과 기타 추가 연락처
199,실시간 채널>네트워크 오류,코로나 이 상무 고객 요청사항 인터넷 연결오유회선 단말특이사항 진단 결과 기타 추가 연락처
200,원인불명>조치 전 자연 회복,봇 고객 요청사항기가 지니 응답 문의 리셋 진행회선 단말특이사항 진단 결과 정상기 타 추가 연락처인
201,실시간 채널>수신 불량,독촉 수신 불
202,실시간 채널>수신 불량,시 대 모두 안됨재부팅 확인함
203,실시간 채널>수신 불량,고객 요청사항 티비수 신불연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
